"RU",01,"Adygeya, Republic of"
"RU",02,"Aginsky Buryatsky AO"
"RU",03,"Gorno-Altay"
"RU",04,"Altaisky krai"
"RU",05,"Amur"
"RU",06,"Arkhangel'sk"
"RU",07,"Astrakhan'"
"RU",08,"Bashkortostan"
"RU",09,"Belgorod"
"RU",10,"Bryansk"
"RU",11,"Buryat"
"RU",12,"Chechnya"
"RU",13,"Chelyabinsk"
"RU",14,"Chita"
"RU",15,"Chukot"
"RU",16,"Chuvashia"
"RU",17,"Dagestan"
"RU",18,"Evenk"
"RU",19,"Ingush"
"RU",20,"Irkutsk"
"RU",21,"Ivanovo"
"RU",22,"Kabardin-Balkar"
"RU",23,"Kaliningrad"
"RU",24,"Kalmyk"
"RU",25,"Kaluga"
"RU",26,"Kamchatka"
"RU",27,"Karachay-Cherkess"
"RU",28,"Karelia"
"RU",29,"Kemerovo"
"RU",30,"Khabarovsk"
"RU",31,"Khakass"
"RU",32,"Khanty-Mansiy"
"RU",33,"Kirov"
"RU",34,"Komi"
"RU",36,"Koryak"
"RU",37,"Kostroma"
"RU",38,"Krasnodar"
"RU",39,"Krasnoyarsk"
"RU",40,"Kurgan"
"RU",41,"Kursk"
"RU",42,"Leningrad"
"RU",43,"Lipetsk"
"RU",44,"Magadan"
"RU",45,"Mariy-El"
"RU",46,"Mordovia"
"RU",47,"Moskva"
"RU",48,"Moscow City"
"RU",49,"Murmansk"
"RU",50,"Nenets"
"RU",51,"Nizhegorod"
"RU",52,"Novgorod"
"RU",53,"Novosibirsk"
"RU",54,"Omsk"
"RU",55,"Orenburg"
"RU",56,"Orel"
"RU",57,"Penza"
"RU",58,"Perm'"
"RU",59,"Primor'ye"
"RU",60,"Pskov"
"RU",61,"Rostov"
"RU",62,"Ryazan'"
"RU",63,"Sakha"
"RU",64,"Sakhalin"
"RU",65,"Samara"
"RU",66,"Saint Petersburg City"
"RU",67,"Saratov"
"RU",68,"North Ossetia"
"RU",69,"Smolensk"
"RU",70,"Stavropol'"
"RU",71,"Sverdlovsk"
"RU",72,"Tambovskaya oblast"
"RU",73,"Tatarstan"
"RU",74,"Taymyr"
"RU",75,"Tomsk"
"RU",76,"Tula"
"RU",77,"Tver'"
"RU",78,"Tyumen'"
"RU",79,"Tuva"
"RU",80,"Udmurt"
"RU",81,"Ul'yanovsk"
"RU",83,"Vladimir"
"RU",84,"Volgograd"
"RU",85,"Vologda"
"RU",86,"Voronezh"
"RU",87,"Yamal-Nenets"
"RU",88,"Yaroslavl'"
"RU",89,"Yevrey"
"RU",90,"Permskiy Kray"
"RU",91,"Krasnoyarskiy Kray"
"RU",92,"Kamchatskiy Kray"
"RU",93,"Zabaykal'skiy Kray"
"UA",01,"Cherkas'ka Oblast'"
"UA",02,"Chernihivs'ka Oblast'"
"UA",03,"Chernivets'ka Oblast'"
"UA",04,"Dnipropetrovs'ka Oblast'"
"UA",05,"Donets'ka Oblast'"
"UA",06,"Ivano-Frankivs'ka Oblast'"
"UA",07,"Kharkivs'ka Oblast'"
"UA",08,"Khersons'ka Oblast'"
"UA",09,"Khmel'nyts'ka Oblast'"
"UA",10,"Kirovohrads'ka Oblast'"
"UA",11,"Krym"
"UA",12,"Kyyiv"
"UA",13,"Kyyivs'ka Oblast'"
"UA",14,"Luhans'ka Oblast'"
"UA",15,"L'vivs'ka Oblast'"
"UA",16,"Mykolayivs'ka Oblast'"
"UA",17,"Odes'ka Oblast'"
"UA",18,"Poltavs'ka Oblast'"
"UA",19,"Rivnens'ka Oblast'"
"UA",20,"Sevastopol'"
"UA",21,"Sums'ka Oblast'"
"UA",22,"Ternopil's'ka Oblast'"
"UA",23,"Vinnyts'ka Oblast'"
"UA",24,"Volyns'ka Oblast'"
"UA",25,"Zakarpats'ka Oblast'"
"UA",26,"Zaporiz'ka Oblast'"
"UA",27,"Zhytomyrs'ka Oblast'"
